Date,Unit,pH,Temp,ORP,CODt,CODs,TKN,NH3,TS,VS,Biogas
06/05/2023,Influent,5.85,,-474,24607,12288,2004,1651,1.28,0.87,
06/05/2023,Acid_Tank,4.81,36.5,-25,52900,15667,3346,1841,2.94,2.51,
06/05/2023,AD,7.3,32.2,-202,44329,4332,4445,2238,3.01,2.62,5466
06/12/2023,Influent,6.26,,-307,22195,12745,2296,1714,1.23,0.78,
06/12/2023,Acid_Tank,5.64,36.1,-268,33930,17265,2869,2091,1.7,1.3,
06/12/2023,AD,7.28,34.8,-443,70825,4585,4859,2504,3.02,2.56,5222
6/19/2023,Influent,7.21,,-389,24238,8340,2530,2183,1.42,0.97,
6/19/2023,Acid_Tank,7.06,36.6,-392,27218,12196,2737,2245,1.35,0.95,
6/19/2023,AD,7.42,35.6,-443,25528,3917,3801,2211,2.09,1.68,4418
6/27/2023,Influent,7.54,,-425,18524,6874,2684,2346,1.1,0.7,
6/27/2023,Acid_Tank,7.42,36.2,-423,22886,11274,2569,2525,0.97,0.64,
6/27/2023,AD,7.34,35.8,-451,27126,4040,3616,2248,1.75,1.36,3374
07/03/2023,Influent,7.28,,-395,29860,7104,2880,2037,1.72,1.29,
07/03/2023,Acid_Tank,7.24,36.4,-419,25375,9308,2716,2292,1.4,0.98,
07/03/2023,AD,7.35,35.7,-456,19169,3118,3625,2273,1.61,1.21,2029
07/10/2023,Influent,6.4,,-307,37663,12442,2469,1603,1.92,1.4,
07/10/2023,Acid_Tank,7.19,36.7,-463,25774,9807,2778,2367,1.41,0.97,
07/10/2023,AD,7.39,36,-478,21135,2696,3273,2379,1.36,1,2519
7/17/2023,Influent,6.76,,-379,28093,10821,2390,1730,1.47,1.04,
7/17/2023,Acid_Tank,7.57,36.5,-385,27218,8832,2606,2142,1.43,1,
7/17/2023,AD,7.41,36.5,-495,18555,4132,3084,2347,1.21,0.86,2406
7/24/2023,Influent,6.79,,-412,29399,8172,2468,1824,1.6,1.15,
7/24/2023,Acid_Tank,7.78,36.8,-482,24914,7419,2657,2164,1.51,1.06,
7/24/2023,AD,7.69,35.8,-499,10614,2412,2970,2274,1.12,0.76,2308
7/31/2023,Influent,6.57,,-414,33638,11520,3515,2248,2.06,1.51,
7/31/2023,Acid_Tank,7.67,36.4,-493,21427,6993,2973,2275,1.55,1.1,
7/31/2023,AD,7.48,35.5,-495,11489,3041,3359,2462,1.15,0.76,2081
08/07/2023,Influent,6.53,,-407,31672,11566,2985,2094,1.68,1.15,
08/07/2023,Acid_Tank,7.62,37.1,-528,24730,6006,3167,2463,1.64,1.13,
08/07/2023,AD,7.44,36.3,-533,9631,2388,3245,2792,0.99,0.64,1805
8/14/2023,Influent,6.65,,-405,34284,7050,3265,2252,2.21,1.61,
8/14/2023,Acid_Tank,7.38,36.9,-502,22241,5952,3430,2495,1.82,1.25,
8/14/2023,AD,7.38,35.6,-509,10552,2596,3237,2567,1.2,0.77,2060
8/21/2023,Influent,6.83,,-425,20659,6816,2434,1894,1.79,1.42,
8/21/2023,Acid_Tank,7.64,37.1,-511,24899,5633,2486,2282,1.69,1.14,
8/21/2023,AD,7.5,36,-505,12127,2287,3031,2476,1.11,0.7,1830
8/28/2023,Influent,6.68,,-378,14822,5414,1577,1211,1.3,0.82,
8/28/2023,Acid_Tank,7.54,36.9,-497,12442,4593,2534,1919,1.02,0.62,
8/28/2023,AD,7.54,35.5,-500,8986,3107,2932,2332,0.8,0.5,1322
09/04/2023,Influent,6.42,,-473,27080,11333,2115,1662,1.97,1.4,
09/04/2023,Acid_Tank,7.71,37.2,-439,8978,2294,2148,1674,1.13,0.71,
09/04/2023,AD,7.36,36.1,-440,6559,1720,2887,2362,1.09,0.68,421
09/11/2023,Influent,5.42,,-350,42885,21366,2443,1326,2.22,1.51,
09/11/2023,Acid_Tank,7.47,37.2,-425,18432,3748,2535,1648,1.78,1.16,
09/11/2023,AD,7.35,35.7,-458,8909,2339,2673,2053,1.04,0.6,1149
9/18/2023,Influent,5.28,,-279,80640,27433,2820,2102,2.87,1.93,
9/18/2023,Acid_Tank,7.18,37,-446,22886,7530,2443,1877,1.85,1.22,
9/18/2023,AD,7.29,34.9,-450,10045,2719,2758,2096,1.3,0.8,3077
9/25/2023,Influent,5.42,,-198,51994,31903,2994,2156,2.68,1.8,
9/25/2023,Acid_Tank,7.44,35.2,-337,33946,3153,2832,2047,2.22,1.51,
9/25/2023,AD,7.45,34.2,-434,7434,2888,2492,1948,0.93,0.53,5555
10/03/2023,Influent,5.42,,-213,55789,35740,3073,1841,2.48,1.66,
10/03/2023,Acid_Tank,7.38,37.2,-358,42806,14371,3356,2448,2.61,1.61,
10/03/2023,AD,7.34,36.2,-421,10613,3124,2890,2211,1.39,0.82,7051
10/11/2023,Influent,6.08,,-251,46510,20198,2876,1854,1.89,1.28,
10/11/2023,Acid_Tank,7.41,37,-381,37786,13517,3171,2376,2.2,1.42,
10/11/2023,AD,7.25,35.1,-463,8433,2899,2941,2346,1.2,0.64,5391
10/17/2023,Influent,6.08,,-210,38415,25375,3065,2092,1.94,1.32,
10/17/2023,Acid_Tank,7.35,36.8,-392,32901,12042,3450,2416,2.08,1.36,
10/17/2023,AD,7.3,35.8,-451,12810,2849,3166,2434,1.49,0.84,5677
10/23/2023,Influent,5.42,,-131,54267,35205,2867,1745,3.02,2.09,
10/23/2023,Acid_Tank,6.93,37,-432,35174,15744,2999,2432,1.96,1.28,
10/23/2023,AD,7.31,36.2,-517,7680,2742,2953,2363,1,0.51,5282
10/31/2023,Influent,5.64,,-198,45373,27494,2777,1573,2.07,1.38,
10/31/2023,Acid_Tank,5.82,37.1,-293,43930,21765,3047,2513,1.75,1.07,
10/31/2023,AD,7.58,35.9,-446,8632,3540,2786,2499,1.2,0.62,7022
